遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6
49樂合彩,115000001,2026/01/02,10234950,409398,3755000,3,7,16,19,40,42
49樂合彩,115000002,2026/01/06,10242650,409706,6075000,2,23,33,38,39,45
49樂合彩,115000003,2026/01/09,11160100,446404,7705000,1,7,13,14,34,45
49樂合彩,115000004,2026/01/13,10857575,434303,4980000,2,10,18,19,39,49
49樂合彩,115000005,2026/01/16,11016100,440644,9618750,9,10,21,22,25,36
49樂合彩,115000006,2026/01/20,10256925,410277,3740000,2,7,26,41,44,45
49樂合彩,115000007,2026/01/23,10405250,416210,5595000,21,23,32,36,39,43
49樂合彩,115000008,2026/01/27,10118625,404745,8536250,4,11,24,25,29,30
49樂合彩,115000009,2026/01/30,10892700,435708,7836250,9,13,27,31,32,39
49樂合彩,115000010,2026/02/03,10907450,436298,3757500,6,14,32,33,39,43
49樂合彩,115000011,2026/02/06,11114275,444571,5930000,4,12,24,25,39,48
49樂合彩,115000012,2026/02/10,10816500,432660,7075000,6,16,20,21,24,35
49樂合彩,115000013,2026/02/12,6148225,245929,3622500,1,3,8,15,20,48
49樂合彩,115000014,2026/02/13,9427850,377114,4295000,9,20,25,35,39,48
49樂合彩,115000015,2026/02/14,8078775,323151,3398750,1,11,22,35,36,40
49樂合彩,115000016,2026/02/15,8790200,351608,5886250,3,6,11,18,25,28
49樂合彩,115000017,2026/02/16,8442700,337708,4363750,11,16,18,27,38,46
49樂合彩,115000018,2026/02/17,9340125,373605,6608750,6,12,24,26,37,46
49樂合彩,115000019,2026/02/18,8983225,359329,6037500,16,35,36,37,39,49
49樂合彩,115000020,2026/02/19,8922200,356888,4155000,20,28,29,31,35,41
49樂合彩,115000021,2026/02/20,9908600,396344,6463750,13,15,18,24,33,49
49樂合彩,115000022,2026/02/21,9316075,372643,5036250,12,13,17,27,41,48
49樂合彩,115000023,2026/02/22,8967900,358716,8802500,5,7,17,22,24,47
49樂合彩,115000024,2026/02/23,8605200,344208,4683750,6,10,23,27,47,48
49樂合彩,115000025,2026/02/24,9369700,374788,5963750,12,19,22,27,28,31
49樂合彩,115000026,2026/02/25,8394125,335765,3661250,7,15,22,38,45,49
49樂合彩,115000027,2026/02/26,8279425,331177,3265000,1,16,22,24,47,48
49樂合彩,115000028,2026/02/27,8695700,347828,3445000,14,18,19,34,45,47
49樂合彩,115000029,2026/02/28,7985175,319407,4157500,17,23,30,37,39,49
49樂合彩,115000030,2026/03/01,7776600,311064,5116250,4,7,34,40,44,49
49樂合彩,115000031,2026/03/02,7660775,306431,5962500,19,25,27,28,33,39
49樂合彩,115000032,2026/03/03,8760075,350403,3843750,5,26,27,35,45,46
49樂合彩,115000033,2026/03/06,9461125,378445,8366250,9,11,12,14,23,25
49樂合彩,115000034,2026/03/10,9433300,377332,3221250,5,11,29,37,43,47
49樂合彩,115000035,2026/03/13,9945950,397838,7518750,5,12,13,38,47,48
49樂合彩,115000036,2026/03/17,9745500,389820,7031250,2,6,10,22,40,45
49樂合彩,115000037,2026/03/20,10077875,403115,5023750,11,15,33,38,41,43
49樂合彩,115000038,2026/03/24,9853625,394145,6852500,14,33,41,42,44,48
49樂合彩,115000039,2026/03/27,9773375,390935,7395000,4,8,23,26,29,36
49樂合彩,115000040,2026/03/31,9595225,383809,5155000,5,11,25,40,45,47
49樂合彩,115000041,2026/04/03,9807850,392314,10342500,5,12,13,25,36,48
49樂合彩,115000042,2026/04/07,9187025,367481,9822500,1,2,6,16,18,26
49樂合彩,115000043,2026/04/10,10467750,418710,7708750,4,10,15,17,21,40
49樂合彩,115000044,2026/04/14,10278225,411129,4771250,4,8,21,23,24,43
49樂合彩,115000045,2026/04/17,10464475,418579,8680000,7,10,11,22,40,45
49樂合彩,115000046,2026/04/21,10588500,423540,5998750,1,6,17,19,20,40
49樂合彩,115000047,2026/04/24,9599400,383976,5662500,7,14,16,37,39,47
49樂合彩,115000048,2026/04/28,10357000,414280,5612500,6,10,14,25,26,32
49樂合彩,115000049,2026/05/01,10157525,406301,3993750,7,22,27,35,43,48
49樂合彩,115000050,2026/05/05,9553175,382127,5695000,4,17,23,28,33,37
49樂合彩,115000051,2026/05/08,10637350,425494,4685000,10,18,25,28,39,43
49樂合彩,115000052,2026/05/12,10535775,421431,6172500,6,12,18,19,32,36
49樂合彩,115000053,2026/05/15,10526275,421051,5820000,16,29,30,35,42,43
49樂合彩,115000054,2026/05/19,9813325,392533,5332500,4,20,22,26,38,47
49樂合彩,115000055,2026/05/22,10033550,401342,5632500,12,13,16,21,28,48
49樂合彩,115000056,2026/05/26,9609300,384372,6051250,3,27,29,37,47,48
49樂合彩,115000057,2026/05/29,9702975,388119,5092500,20,26,29,31,37,49
49樂合彩,115000058,2026/06/02,9516900,380676,4275000,8,9,16,20,37,49
49樂合彩,115000059,2026/06/05,9588375,383535,4031250,12,14,25,30,32,44
49樂合彩,115000060,2026/06/09,9392650,375706,4335000,13,18,25,39,40,46
49樂合彩,115000061,2026/06/12,9828750,393150,5365000,1,6,16,20,34,49
49樂合彩,115000062,2026/06/16,9654300,386172,7775000,1,2,9,11,28,36
49樂合彩,115000063,2026/06/19,9854875,394195,6381250,4,12,28,29,35,48
49樂合彩,115000064,2026/06/23,9088025,363521,3667500,12,18,29,33,34,39
49樂合彩,115000065,2026/06/26,8712450,348498,5835000,11,19,23,24,29,41
49樂合彩,115000066,2026/06/30,9120625,364825,3665000,4,10,16,29,36,45
