遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4
四星彩,114000028,2025/01/31,4295125,171805,2873000,9,9,1,9
四星彩,114000029,2025/02/01,4415725,176629,5324500,2,1,2,5
四星彩,114000030,2025/02/02,3961300,158452,4400500,1,2,3,5
四星彩,114000031,2025/02/03,4223450,168938,1419000,2,0,6,2
四星彩,114000032,2025/02/04,4295625,171825,2628000,0,8,0,5
四星彩,114000033,2025/02/05,4395975,175839,1917000,6,3,5,6
四星彩,114000034,2025/02/06,4445600,177824,1786500,0,5,5,3
四星彩,114000035,2025/02/07,4337300,173492,2412000,6,8,1,0
四星彩,114000036,2025/02/08,4150350,166014,1235500,7,6,7,3
四星彩,114000037,2025/02/09,3255550,130222,1412000,4,6,3,7
四星彩,114000038,2025/02/10,4349775,173991,2187500,5,1,6,1
四星彩,114000039,2025/02/11,4220475,168819,1930000,3,3,0,3
四星彩,114000040,2025/02/12,4315275,172611,1001500,9,6,4,5
四星彩,114000041,2025/02/13,4047375,161895,1870000,0,8,5,2
四星彩,114000042,2025/02/14,4529000,181160,3679500,9,5,3,8
四星彩,114000043,2025/02/15,4348375,173935,3254500,9,1,2,5
四星彩,114000044,2025/02/17,4965650,198626,2536000,0,9,3,2
四星彩,114000045,2025/02/18,4225475,169019,1900500,2,0,3,4
四星彩,114000046,2025/02/19,4331250,173250,2619500,1,0,7,7
四星彩,114000047,2025/02/20,4488275,179531,2098500,8,5,0,3
四星彩,114000048,2025/02/21,4293175,171727,1649000,0,3,8,2
四星彩,114000049,2025/02/22,4332325,173293,2789000,0,7,0,9
四星彩,114000050,2025/02/24,4758450,190338,997000,4,0,4,2
四星彩,114000051,2025/02/25,4150450,166018,2342000,5,6,5,9
四星彩,114000052,2025/02/26,4346775,173871,2068000,6,5,0,2
四星彩,114000053,2025/02/27,4422475,176899,2753000,7,9,3,6
四星彩,114000054,2025/02/28,4325875,173035,1737000,4,1,2,4
四星彩,114000055,2025/03/01,4643675,185747,1797500,2,0,7,1
四星彩,114000056,2025/03/03,4713475,188539,2344000,2,5,5,7
四星彩,114000057,2025/03/04,4104250,164170,2471500,6,9,8,5
四星彩,114000058,2025/03/05,4499600,179984,1074000,8,4,4,2
四星彩,114000059,2025/03/06,4285950,171438,1455000,1,9,0,5
四星彩,114000060,2025/03/07,4420125,176805,1451000,5,3,4,8
四星彩,114000061,2025/03/08,4560175,182407,922500,5,5,0,4
四星彩,114000062,2025/03/10,4721775,188871,1453000,2,3,4,9
四星彩,114000063,2025/03/11,4326650,173066,3637500,3,0,2,2
四星彩,114000064,2025/03/12,4384300,175372,2441500,2,5,7,8
四星彩,114000065,2025/03/13,4202800,168112,4887500,0,2,0,2
四星彩,114000066,2025/03/14,4394750,175790,1760500,0,3,7,6
四星彩,114000067,2025/03/15,4268900,170756,992500,4,4,7,2
四星彩,114000068,2025/03/17,4554125,182165,2682500,4,4,1,4
四星彩,114000069,2025/03/18,4196450,167858,5018000,0,5,2,0
四星彩,114000070,2025/03/19,4366425,174657,4696500,4,4,3,0
四星彩,114000071,2025/03/20,4458700,178348,2004500,3,5,9,3
四星彩,114000072,2025/03/21,4253975,170159,2125000,0,6,9,6
四星彩,114000073,2025/03/22,4270275,170811,2383000,2,8,8,2
四星彩,114000074,2025/03/24,4474775,178991,1957000,6,2,7,3
四星彩,114000075,2025/03/25,4210600,168424,1968500,7,1,0,3
四星彩,114000076,2025/03/26,4126025,165041,2071500,1,9,4,2
四星彩,114000077,2025/03/27,4090000,163600,2512500,6,3,5,9
四星彩,114000078,2025/03/28,4136700,165468,2007000,6,7,1,6
四星彩,114000079,2025/03/29,4147375,165895,990500,4,4,5,4
四星彩,114000080,2025/03/31,4287850,171514,2708500,2,7,1,9
四星彩,114000081,2025/04/01,4009375,160375,1665000,2,6,7,9
四星彩,114000082,2025/04/02,4417500,176700,4550500,0,9,1,9
四星彩,114000083,2025/04/03,4118225,164729,2362500,9,6,3,0
四星彩,114000084,2025/04/04,4228800,169152,720500,4,1,6,4
四星彩,114000085,2025/04/05,4233700,169348,1981500,5,7,7,9
四星彩,114000086,2025/04/07,4819225,192769,1331500,9,4,4,1
四星彩,114000087,2025/04/08,4252700,170108,1982500,7,6,0,0
四星彩,114000088,2025/04/09,4248000,169920,1494500,4,2,9,7
四星彩,114000089,2025/04/10,4195500,167820,1276000,1,4,9,7
四星彩,114000090,2025/04/11,4395725,175829,2785000,5,2,2,7
四星彩,114000091,2025/04/12,4363300,174532,1641500,3,6,6,2
四星彩,114000092,2025/04/14,4716725,188669,1698000,2,8,0,9
四星彩,114000093,2025/04/15,4112225,164489,1369000,3,4,5,0
四星彩,114000094,2025/04/16,4144575,165783,2032000,5,6,6,3
四星彩,114000095,2025/04/17,4075600,163024,2115500,9,0,7,8
四星彩,114000096,2025/04/18,4239800,169592,2207000,7,9,5,7
四星彩,114000097,2025/04/19,4169975,166799,1221500,1,0,9,2
四星彩,114000098,2025/04/21,4382550,175302,1914000,7,4,0,8
四星彩,114000099,2025/04/22,3951075,158043,1603000,1,0,8,5
四星彩,114000100,2025/04/23,3937975,157519,2542000,3,8,2,7
四星彩,114000101,2025/04/24,3953550,158142,1094500,1,6,6,0
四星彩,114000102,2025/04/25,4026650,161066,2447000,9,2,1,0
四星彩,114000103,2025/04/26,3963125,158525,1430500,1,4,6,3
四星彩,114000104,2025/04/28,4252225,170089,2457500,9,3,3,1
四星彩,114000105,2025/04/29,3991325,159653,4520500,3,2,1,9
四星彩,114000106,2025/04/30,4189625,167585,1957500,4,4,2,9
四星彩,114000107,2025/05/01,4089750,163590,2991000,2,5,7,9
四星彩,114000108,2025/05/02,4117950,164718,3382500,6,0,1,8
四星彩,114000109,2025/05/03,4186025,167441,1389000,5,5,7,1
四星彩,114000110,2025/05/05,4520825,180833,4955500,1,7,6,8
四星彩,114000111,2025/05/06,4251200,170048,2032000,3,3,8,1
四星彩,114000112,2025/05/07,4059025,162361,1789500,2,3,6,2
四星彩,114000113,2025/05/08,4151575,166063,4590500,1,6,2,1
四星彩,114000114,2025/05/09,4200675,168027,1067000,6,4,7,4
四星彩,114000115,2025/05/10,4257100,170284,2286500,5,7,0,2
四星彩,114000116,2025/05/12,4595975,183839,1016000,3,8,4,1
四星彩,114000117,2025/05/13,4169950,166798,1284000,7,1,4,8
四星彩,114000118,2025/05/14,4210200,168408,3053000,2,3,2,0
四星彩,114000119,2025/05/15,4226125,169045,1625500,9,2,4,0
四星彩,114000120,2025/05/16,4294400,171776,2665500,5,6,7,2
四星彩,114000121,2025/05/17,3894250,155770,1763500,4,5,5,2
四星彩,114000122,2025/05/19,4460100,178404,2673000,6,4,6,8
四星彩,114000123,2025/05/20,4001675,160067,2246500,1,6,7,7
四星彩,114000124,2025/05/21,4043100,161724,2076500,1,0,7,9
四星彩,114000125,2025/05/22,3926400,157056,2718500,3,7,7,9
四星彩,114000126,2025/05/23,4031575,161263,2182000,9,5,2,9
四星彩,114000127,2025/05/24,3849825,153993,1705000,3,1,0,2
四星彩,114000128,2025/05/26,4142350,165694,2670500,3,3,9,7
四星彩,114000129,2025/05/27,3873425,154937,1057500,3,3,4,7
四星彩,114000130,2025/05/28,3961475,158459,1875000,5,9,5,5
四星彩,114000131,2025/05/29,3826325,153053,2983000,3,8,8,9
四星彩,114000132,2025/05/30,3858675,154347,1450000,6,3,6,0
四星彩,114000133,2025/05/31,3858925,154357,2505000,8,1,5,0
四星彩,114000134,2025/06/02,4082375,163295,939500,2,9,6,4
四星彩,114000135,2025/06/03,3584425,143377,4200000,1,1,2,7
四星彩,114000136,2025/06/04,3793500,151740,2574500,3,8,6,4
四星彩,114000137,2025/06/05,3937200,157488,1969500,2,1,8,5
四星彩,114000138,2025/06/06,4057925,162317,3422000,9,0,1,6
四星彩,114000139,2025/06/07,3931225,157249,2139500,8,8,3,6
四星彩,114000140,2025/06/09,4263525,170541,1940000,6,8,9,6
四星彩,114000141,2025/06/10,3842725,153709,925000,0,2,4,0
四星彩,114000142,2025/06/11,3907450,156298,1550000,8,7,6,0
四星彩,114000143,2025/06/12,3929275,157171,2085500,5,7,6,6
四星彩,114000144,2025/06/13,3841575,153663,1289500,0,4,6,3
四星彩,114000145,2025/06/14,3944325,157773,1876500,3,6,0,6
四星彩,114000146,2025/06/16,4281050,171242,4445000,3,5,7,9
四星彩,114000147,2025/06/17,3916500,156660,2550000,1,7,1,2
四星彩,114000148,2025/06/18,3954400,158176,4487500,8,8,2,5
四星彩,114000149,2025/06/19,3969800,158792,1168500,8,4,0,2
四星彩,114000150,2025/06/20,3860325,154413,2699000,9,3,6,6
四星彩,114000151,2025/06/21,3911925,156477,1140000,8,9,3,4
四星彩,114000152,2025/06/23,4175275,167011,1574000,5,4,3,7
四星彩,114000153,2025/06/24,3625425,145017,1670500,9,9,7,6
四星彩,114000154,2025/06/25,3828225,153129,1686000,4,8,5,5
四星彩,114000155,2025/06/26,3831700,153268,1271500,3,0,4,4
四星彩,114000156,2025/06/27,3816125,152645,1125000,0,4,9,3
四星彩,114000157,2025/06/28,3753425,150137,1390000,7,1,0,5
四星彩,114000158,2025/06/30,4065875,162635,921500,9,5,4,2
四星彩,114000159,2025/07/01,3759250,150370,2751500,7,6,2,2
四星彩,114000160,2025/07/02,3843975,153759,1447500,4,2,6,5
四星彩,114000161,2025/07/03,3849550,153982,599500,8,5,6,4
四星彩,114000162,2025/07/04,3879250,155170,2356000,9,5,9,8
四星彩,114000163,2025/07/05,3923525,156941,2626000,5,1,9,6
四星彩,114000164,2025/07/07,3844000,153760,1963000,9,6,8,5
四星彩,114000165,2025/07/08,3819375,152775,1283000,2,6,7,0
四星彩,114000166,2025/07/09,3658250,146330,3427500,8,3,2,8
四星彩,114000167,2025/07/10,3743800,149752,2616500,7,5,1,3
四星彩,114000168,2025/07/11,3958225,158329,2582500,7,3,6,5
四星彩,114000169,2025/07/12,3971550,158862,1538000,0,6,9,5
四星彩,114000170,2025/07/14,4211150,168446,1492500,6,4,0,0
四星彩,114000171,2025/07/15,3799450,151978,2455500,7,5,6,7
四星彩,114000172,2025/07/16,3902675,156107,930500,4,5,3,4
四星彩,114000173,2025/07/17,4005200,160208,1000000,0,6,3,4
四星彩,114000174,2025/07/18,3925475,157019,1472500,0,1,8,3
四星彩,114000175,2025/07/19,3732300,149292,1994500,6,7,0,7
四星彩,114000176,2025/07/21,3929850,157194,3137000,9,3,2,6
四星彩,114000177,2025/07/22,3825350,153014,1124500,2,9,4,4
四星彩,114000178,2025/07/23,3894425,155777,2788500,4,1,5,5
四星彩,114000179,2025/07/24,3943975,157759,2013500,8,7,1,0
四星彩,114000180,2025/07/25,3805725,152229,1664000,3,3,0,1
四星彩,114000181,2025/07/26,3800500,152020,1452500,4,9,8,5
四星彩,114000182,2025/07/28,3916275,156651,3168500,6,2,7,7
四星彩,114000183,2025/07/29,3669175,146767,1548500,9,3,7,0
四星彩,114000184,2025/07/30,3686400,147456,694500,5,1,4,5
四星彩,114000185,2025/07/31,3776900,151076,3615000,1,2,0,6
四星彩,114000186,2025/08/01,3974500,158980,1971500,2,6,8,7
四星彩,114000187,2025/08/02,3734375,149375,2622000,5,0,1,5
四星彩,114000188,2025/08/04,3959100,158364,2270000,8,3,2,1
四星彩,114000189,2025/08/05,3983400,159336,1622000,1,0,7,0
四星彩,114000190,2025/08/06,3982250,159290,2039500,6,1,6,9
四星彩,114000191,2025/08/07,4141925,165677,1497000,9,0,1,4
四星彩,114000192,2025/08/08,4290175,171607,1682000,8,4,3,5
四星彩,114000193,2025/08/09,4013500,160540,2037500,7,7,0,0
四星彩,114000194,2025/08/11,4395675,175827,3960000,1,1,7,7
四星彩,114000195,2025/08/12,4182800,167312,4152500,3,5,4,8
四星彩,114000196,2025/08/13,3720200,148808,2595000,7,1,7,2
四星彩,114000197,2025/08/14,4035675,161427,4025500,5,6,1,8
四星彩,114000198,2025/08/15,4214200,168568,3609500,8,8,1,7
四星彩,114000199,2025/08/16,4236900,169476,808500,8,8,4,3
四星彩,114000200,2025/08/18,4418225,176729,3052000,3,1,3,8
四星彩,114000201,2025/08/19,4004450,160178,1333000,7,2,4,5
四星彩,114000202,2025/08/20,3937450,157498,717000,1,2,9,4
四星彩,114000203,2025/08/21,3987775,159511,1363500,9,7,9,1
四星彩,114000204,2025/08/22,3992400,159696,883500,2,0,4,3
四星彩,114000205,2025/08/23,3937300,157492,1056500,8,5,4,5
四星彩,114000206,2025/08/25,4231325,169253,3473000,7,2,2,2
四星彩,114000207,2025/08/26,3856450,154258,1407500,5,1,4,0
四星彩,114000208,2025/08/27,3935950,157438,1623000,2,4,7,3
四星彩,114000209,2025/08/28,3854550,154182,1920000,7,9,1,0
四星彩,114000210,2025/08/29,4034100,161364,3408000,9,3,6,7
四星彩,114000211,2025/08/30,3906075,156243,2297000,6,0,8,9
四星彩,114000212,2025/09/01,4255600,170224,1773000,0,6,8,2
四星彩,114000213,2025/09/02,3814900,152596,1286500,7,4,9,9
四星彩,114000214,2025/09/03,3959700,158388,1711000,0,5,8,7
四星彩,114000215,2025/09/04,3974050,158962,2132000,9,8,7,0
四星彩,114000216,2025/09/05,4215625,168625,1559500,8,6,7,1
四星彩,114000217,2025/09/06,4059575,162383,1636500,6,4,9,5
四星彩,114000218,2025/09/08,4175300,167012,2779500,6,2,7,7
四星彩,114000219,2025/09/09,4034075,161363,2043000,3,8,2,0
四星彩,114000220,2025/09/10,3979000,159160,2432500,9,8,8,5
四星彩,114000221,2025/09/11,3996350,159854,1814000,5,7,0,0
四星彩,114000222,2025/09/12,4037825,161513,1500500,0,8,6,1
四星彩,114000223,2025/09/13,4039700,161588,2443500,8,0,7,9
四星彩,114000224,2025/09/15,5723925,228957,4454500,0,2,3,3
四星彩,114000225,2025/09/16,5554100,222164,4225000,0,5,0,1
四星彩,114000226,2025/09/17,5695750,227830,1777500,7,7,4,8
四星彩,114000227,2025/09/18,5787325,231493,5235500,1,5,8,7
四星彩,114000228,2025/09/19,5790400,231616,3869500,9,7,0,9
四星彩,114000229,2025/09/20,5791050,231642,3160000,1,6,6,1
四星彩,114000230,2025/09/22,6356775,254271,4174000,8,6,0,1
四星彩,114000231,2025/09/23,5491500,219660,4165500,4,8,7,7
四星彩,114000232,2025/09/24,5803800,232152,2262000,2,1,7,3
四星彩,114000233,2025/09/25,5947150,237886,5873000,1,8,5,8
四星彩,114000234,2025/09/26,6009125,240365,4998500,9,3,1,4
四星彩,114000235,2025/09/27,5884900,235396,4154500,0,6,0,1
四星彩,114000236,2025/09/29,6143350,245734,8255000,5,8,6,4
四星彩,114000237,2025/09/30,5664775,226591,3367000,3,0,5,7
四星彩,114000238,2025/10/01,5985875,239435,1989000,9,7,6,4
四星彩,114000239,2025/10/02,5656600,226264,7477500,2,7,1,0
四星彩,114000240,2025/10/03,5943025,237721,2561000,8,4,7,9
四星彩,114000241,2025/10/04,5966400,238656,13949500,5,8,5,8
四星彩,114000242,2025/10/06,6729350,269174,5105500,6,8,5,5
四星彩,114000243,2025/10/07,6075950,243038,3631000,8,4,7,3
四星彩,114000244,2025/10/08,6253275,250131,2414500,2,1,4,4
四星彩,114000245,2025/10/09,6331800,253272,3226500,9,3,4,2
四星彩,114000246,2025/10/10,6447050,257882,4549500,4,5,7,7
四星彩,114000247,2025/10/11,7093850,283754,3438500,6,7,0,5
四星彩,114000248,2025/10/13,5018850,200754,7340500,6,6,8,8
四星彩,114000249,2025/10/14,4656600,186264,2706000,5,4,7,9
四星彩,114000250,2025/10/15,4724625,188985,2038500,8,8,3,5
四星彩,114000251,2025/10/16,4590300,183612,3840500,4,6,6,1
四星彩,114000252,2025/10/17,4613650,184546,1909000,5,7,8,3
四星彩,114000253,2025/10/18,4613325,184533,2673000,0,0,9,1
四星彩,114000254,2025/10/20,4532100,181284,3775000,2,6,3,5
四星彩,114000255,2025/10/21,4239400,169576,1888500,5,4,9,8
四星彩,114000256,2025/10/22,4280200,171208,1522500,0,8,9,7
四星彩,114000257,2025/10/23,4384750,175390,2829500,5,2,0,9
四星彩,114000258,2025/10/24,4268225,170729,2033000,7,0,0,1
四星彩,114000259,2025/10/25,4300100,172004,4017000,2,3,6,6
四星彩,114000260,2025/10/27,4658250,186330,3626500,8,3,6,2
四星彩,114000261,2025/10/28,4153875,166155,2597500,7,6,5,7
四星彩,114000262,2025/10/29,4575700,183028,2758000,4,6,1,8
四星彩,114000263,2025/10/30,4362875,174515,1300500,4,0,7,2
四星彩,114000264,2025/10/31,4476625,179065,2479000,7,5,3,5
四星彩,114000265,2025/11/01,4484025,179361,2225500,8,3,1,4
四星彩,114000266,2025/11/03,4638725,185549,6743000,1,0,2,7
四星彩,114000267,2025/11/04,4315850,172634,1719500,6,3,9,7
四星彩,114000268,2025/11/05,4453375,178135,1255000,8,4,2,4
四星彩,114000269,2025/11/06,4386200,175448,741500,0,7,8,4
四星彩,114000270,2025/11/07,4434050,177362,940000,2,8,4,5
四星彩,114000271,2025/11/08,4322250,172890,1530500,2,4,8,1
四星彩,114000272,2025/11/10,4538725,181549,2613500,5,5,1,0
四星彩,114000273,2025/11/11,4338450,173538,7339500,1,1,2,9
四星彩,114000274,2025/11/12,4284150,171366,1706500,8,5,5,0
四星彩,114000275,2025/11/13,4320775,172831,2373000,3,5,1,7
四星彩,114000276,2025/11/14,4670425,186817,4317500,1,7,2,2
四星彩,114000277,2025/11/15,4673200,186928,1067500,5,6,4,6
四星彩,114000278,2025/11/17,4796550,191862,4050000,8,9,8,8
四星彩,114000279,2025/11/18,4424800,176992,2866500,2,3,3,5
四星彩,114000280,2025/11/19,4525450,181018,3267000,5,5,1,3
四星彩,114000281,2025/11/20,4511525,180461,2046000,2,4,5,9
四星彩,114000282,2025/11/21,4592825,183713,2094000,8,6,0,0
四星彩,114000283,2025/11/22,4534500,181380,2681000,2,9,2,7
四星彩,114000284,2025/11/24,4904425,196177,2122500,6,8,1,4
四星彩,114000285,2025/11/25,4507550,180302,4627500,0,6,2,5
四星彩,114000286,2025/11/26,4541150,181646,2209500,7,4,1,5
四星彩,114000287,2025/11/27,4401300,176052,2287500,6,6,7,2
四星彩,114000288,2025/11/28,4585100,183404,3588000,8,3,1,6
四星彩,114000289,2025/11/29,4463600,178544,6852500,1,1,2,5
四星彩,114000290,2025/12/01,4899175,195967,1193000,6,6,8,4
四星彩,114000291,2025/12/02,4523075,180923,1778500,4,7,5,2
四星彩,114000292,2025/12/03,4466175,178647,2204500,2,2,5,3
四星彩,114000293,2025/12/04,4420500,176820,4891500,1,1,8,8
四星彩,114000294,2025/12/05,4711475,188459,3074500,0,5,8,7
四星彩,114000295,2025/12/06,4733775,189351,1609000,8,8,9,3
四星彩,114000296,2025/12/08,5012375,200495,2638000,2,1,7,3
四星彩,114000297,2025/12/09,4539550,181582,2588000,6,1,9,9
四星彩,114000298,2025/12/10,4738350,189534,2849000,7,0,8,0
四星彩,114000299,2025/12/11,4778375,191135,4192000,5,6,4,7
四星彩,114000300,2025/12/12,4815400,192616,1439500,0,3,5,2
四星彩,114000301,2025/12/13,4590150,183606,1413000,1,2,4,1
四星彩,114000302,2025/12/15,4894275,195771,1298000,1,8,0,4
四星彩,114000303,2025/12/16,4435625,177425,3370000,5,8,3,6
四星彩,114000304,2025/12/17,4494475,179779,3250500,8,5,3,0
四星彩,114000305,2025/12/18,4646150,185846,1524000,9,6,5,4
四星彩,114000306,2025/12/19,4477700,179108,1594500,4,6,8,0
四星彩,114000307,2025/12/20,4535350,181414,1748000,8,9,9,1
四星彩,114000308,2025/12/22,5000950,200038,1619500,6,0,9,0
四星彩,114000309,2025/12/23,4594375,183775,1674000,5,6,2,4
四星彩,114000310,2025/12/24,4560550,182422,1966500,4,5,5,1
四星彩,114000311,2025/12/25,4246325,169853,1318000,9,3,4,5
四星彩,114000312,2025/12/26,4348725,173949,1338000,5,8,4,4
四星彩,114000313,2025/12/27,4386400,175456,2448000,4,8,2,3
四星彩,114000314,2025/12/29,4776700,191068,2246500,9,5,3,5
四星彩,114000315,2025/12/30,4427175,177087,2820500,4,5,3,9
四星彩,114000316,2025/12/31,4789750,191590,5467000,1,7,2,6
