遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4
四星彩,114000001,2025/01/01,4055950,162238,967500,6,8,0,4
四星彩,114000002,2025/01/02,4071000,162840,1251000,1,3,7,3
四星彩,114000003,2025/01/03,4280950,171238,1477000,7,5,9,3
四星彩,114000004,2025/01/04,4386325,175453,742500,5,5,4,0
四星彩,114000005,2025/01/06,4733525,189341,1043000,3,2,4,3
四星彩,114000006,2025/01/07,4176075,167043,1814500,8,7,8,1
四星彩,114000007,2025/01/08,4248250,169930,1843500,2,4,3,0
四星彩,114000008,2025/01/09,4071750,162870,815500,9,9,4,6
四星彩,114000009,2025/01/10,4277850,171114,3191500,1,2,3,0
四星彩,114000010,2025/01/11,4278700,171148,2150500,4,2,0,9
四星彩,114000011,2025/01/13,4608750,184350,2641500,6,7,7,5
四星彩,114000012,2025/01/14,4196150,167846,1609000,7,0,6,1
四星彩,114000013,2025/01/15,4173750,166950,2708500,8,0,8,3
四星彩,114000014,2025/01/16,4176025,167041,2939000,1,6,1,2
四星彩,114000015,2025/01/17,4350150,174006,2445000,9,5,1,2
四星彩,114000016,2025/01/18,4412600,176504,2423500,1,0,9,7
四星彩,114000017,2025/01/20,4697125,187885,2295500,4,3,7,8
四星彩,114000018,2025/01/21,4319900,172796,2052000,1,5,5,3
四星彩,114000019,2025/01/22,4345950,173838,1726500,8,9,7,0
四星彩,114000020,2025/01/23,4432300,177292,3034500,4,4,9,1
四星彩,114000021,2025/01/24,4445775,177831,2126000,5,5,7,0
四星彩,114000022,2025/01/25,4263450,170538,1852000,9,4,1,6
四星彩,114000023,2025/01/26,2859450,114378,872000,7,2,4,2
四星彩,114000024,2025/01/27,4036325,161453,2746500,0,4,5,8
四星彩,114000025,2025/01/28,4172075,166883,1985000,3,4,1,4
四星彩,114000026,2025/01/29,4286150,171446,2308000,0,6,7,8
四星彩,114000027,2025/01/30,4357650,174306,1415000,9,8,2,4
