遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3
三星彩,114000001,2025/01/01,2234325,89373,1784300,3,1,3
三星彩,114000002,2025/01/02,2222025,88881,969250,3,5,1
三星彩,114000003,2025/01/03,2291475,91659,1436900,7,9,9
三星彩,114000004,2025/01/04,2323800,92952,1697750,4,6,8
三星彩,114000005,2025/01/06,2575750,103030,1350250,5,7,3
三星彩,114000006,2025/01/07,2270500,90820,1178850,0,5,7
三星彩,114000007,2025/01/08,2386150,95446,1882500,4,2,6
三星彩,114000008,2025/01/09,2272250,90890,1366950,5,0,8
三星彩,114000009,2025/01/10,2337525,93501,835700,3,4,1
三星彩,114000010,2025/01/11,2390725,95629,1331650,0,5,7
三星彩,114000011,2025/01/13,2574475,102979,1142500,2,9,6
三星彩,114000012,2025/01/14,2264500,90580,1654100,3,5,1
三星彩,114000013,2025/01/15,2296225,91849,968850,7,5,2
三星彩,114000014,2025/01/16,2307350,92294,1354750,0,1,0
三星彩,114000015,2025/01/17,2328750,93150,1250500,7,9,7
三星彩,114000016,2025/01/18,2405650,96226,1491300,7,0,8
三星彩,114000017,2025/01/20,2545075,101803,1522250,6,1,7
三星彩,114000018,2025/01/21,2311925,92477,898100,6,7,0
三星彩,114000019,2025/01/22,2383225,95329,931650,5,4,1
三星彩,114000020,2025/01/23,2398425,95937,832100,6,9,4
三星彩,114000021,2025/01/24,2372250,94890,709650,0,8,4
三星彩,114000022,2025/01/25,2314350,92574,1615700,3,1,7
三星彩,114000023,2025/01/26,1586100,63444,694550,8,6,7
三星彩,114000024,2025/01/27,2232900,89316,1442550,8,1,3
三星彩,114000025,2025/01/28,2323975,92959,1632200,9,3,0
三星彩,114000026,2025/01/29,2422750,96910,1358700,5,7,5
三星彩,114000027,2025/01/30,2444175,97767,1786100,1,1,4
三星彩,114000028,2025/01/31,2443000,97720,770450,9,4,0
三星彩,114000029,2025/02/01,2475175,99007,1377150,0,2,7
三星彩,114000030,2025/02/02,2235200,89408,1216200,1,3,0
三星彩,114000031,2025/02/03,2337225,93489,1702850,2,1,2
三星彩,114000032,2025/02/04,2439825,97593,1611350,2,0,6
