遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6
49樂合彩,114000077,2025/08/08,10321150,412846,7752500,11,16,17,21,24,29
49樂合彩,114000078,2025/08/12,9749200,389968,8672500,6,7,15,22,37,42
49樂合彩,114000079,2025/08/15,9893425,395737,6035000,3,5,7,15,17,47
49樂合彩,114000080,2025/08/19,9407800,376312,4546250,2,23,25,33,41,46
49樂合彩,114000081,2025/08/22,9570750,382830,5130000,23,33,38,43,45,47
49樂合彩,114000082,2025/08/26,9184175,367367,5588750,3,6,22,32,35,39
49樂合彩,114000083,2025/08/29,9921600,396864,5987500,13,20,25,27,28,32
49樂合彩,114000084,2025/09/02,9538675,381547,7532500,2,6,9,19,20,30
49樂合彩,114000085,2025/09/05,10097600,403904,6207500,10,13,14,17,19,29
49樂合彩,114000086,2025/09/09,10631850,425274,4215000,12,20,25,26,40,45
49樂合彩,114000087,2025/09/12,10266650,410666,7330000,2,3,4,11,15,41
49樂合彩,114000088,2025/09/16,9528900,381156,6281250,7,17,18,22,25,47
49樂合彩,114000089,2025/09/19,9694300,387772,4313750,14,17,26,36,38,41
49樂合彩,114000090,2025/09/23,9174475,366979,4612500,5,14,22,25,27,45
49樂合彩,114000091,2025/09/26,9565200,382608,9906250,1,2,25,29,41,49
49樂合彩,114000092,2025/09/30,8675075,347003,3375000,19,20,22,32,36,42
49樂合彩,114000093,2025/10/03,9533400,381336,3911250,4,18,36,40,41,43
49樂合彩,114000094,2025/10/07,8884475,355379,3780000,2,9,16,34,42,43
49樂合彩,114000095,2025/10/10,9217775,368711,2531250,13,16,18,22,39,42
49樂合彩,114000096,2025/10/14,9212275,368491,3553750,11,16,20,31,39,41
49樂合彩,114000097,2025/10/17,9170900,366836,2720000,3,15,16,31,32,45
49樂合彩,114000098,2025/10/21,8565925,342637,6733750,14,20,25,42,44,49
49樂合彩,114000099,2025/10/24,8978675,359147,5106250,13,22,23,33,39,40
49樂合彩,114000100,2025/10/28,9058450,362338,7263750,5,8,11,12,18,39
49樂合彩,114000101,2025/10/31,9941600,397664,8456250,3,4,7,10,18,21
49樂合彩,114000102,2025/11/04,10005800,400232,7090000,16,25,27,35,47,48
49樂合彩,114000103,2025/11/07,10220125,408805,9570000,4,11,22,32,33,41
49樂合彩,114000104,2025/11/11,10676950,427078,5667500,11,16,24,42,44,47
49樂合彩,114000105,2025/11/14,11244575,449783,7126250,21,25,26,38,41,46
49樂合彩,114000106,2025/11/18,10256150,410246,5272500,8,9,10,23,24,43
49樂合彩,114000107,2025/11/21,10055400,402216,5985000,14,20,21,28,31,46
49樂合彩,114000108,2025/11/25,9737400,389496,5457500,2,10,12,20,23,24
49樂合彩,114000109,2025/11/28,10259450,410378,5597500,8,12,18,28,37,46
49樂合彩,114000110,2025/12/02,9941175,397647,4108750,14,20,32,35,42,48
49樂合彩,114000111,2025/12/05,10361625,414465,6755000,8,15,23,24,41,47
49樂合彩,114000112,2025/12/09,11223775,448951,6930000,5,10,18,26,28,44
49樂合彩,114000113,2025/12/12,10723550,428942,4226250,15,17,24,26,40,47
49樂合彩,114000114,2025/12/16,10688775,427551,6150000,6,7,15,19,24,33
49樂合彩,114000115,2025/12/19,10131575,405263,8640000,6,8,11,12,18,46
49樂合彩,114000116,2025/12/23,10701050,428042,4452500,1,3,12,33,39,41
49樂合彩,114000117,2025/12/26,10787825,431513,8075000,5,7,9,14,17,30
49樂合彩,114000118,2025/12/30,10323050,412922,9195000,5,10,15,20,24,29
