遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,114000079,2025/03/29,31084150,1243366,22084125,4,9,12,17,27
39樂合彩,114000080,2025/03/31,31036725,1241469,20018750,7,10,13,23,26
39樂合彩,114000081,2025/04/01,29117675,1164707,12754000,5,13,17,19,31
39樂合彩,114000082,2025/04/02,33236375,1329455,31321625,4,8,29,32,34
39樂合彩,114000083,2025/04/03,32266600,1290664,12471500,5,16,23,31,39
39樂合彩,114000084,2025/04/04,28591375,1143655,20644250,3,6,7,36,38
39樂合彩,114000085,2025/04/05,31363225,1254529,23489375,12,13,14,15,24
39樂合彩,114000086,2025/04/07,33755625,1350225,14893875,1,6,19,26,33
39樂合彩,114000087,2025/04/08,29275350,1171014,10969750,6,17,18,19,32
39樂合彩,114000088,2025/04/09,31714950,1268598,12338625,4,6,14,24,35
39樂合彩,114000089,2025/04/10,31744975,1269799,10740375,14,19,22,26,28
39樂合彩,114000090,2025/04/11,30275800,1211032,17805875,15,17,26,27,35
39樂合彩,114000091,2025/04/12,33636325,1345453,23185375,9,11,15,25,31
39樂合彩,114000092,2025/04/14,33894625,1355785,23265375,9,10,22,30,33
39樂合彩,114000093,2025/04/15,29614525,1184581,16257000,2,3,16,27,39
39樂合彩,114000094,2025/04/16,31518700,1260748,17646750,7,22,25,29,38
39樂合彩,114000095,2025/04/17,30788750,1231550,25090250,3,6,23,24,37
39樂合彩,114000096,2025/04/18,29668325,1186733,11584000,7,24,28,31,36
39樂合彩,114000097,2025/04/19,32311250,1292450,21229375,14,19,21,26,36
39樂合彩,114000098,2025/04/21,32431875,1297275,14167750,2,6,12,14,24
39樂合彩,114000099,2025/04/22,27995875,1119835,17600750,8,19,23,27,31
39樂合彩,114000100,2025/04/23,30779075,1231163,8947625,1,16,19,27,33
39樂合彩,114000101,2025/04/24,29591750,1183670,24448375,4,6,25,29,35
39樂合彩,114000102,2025/04/25,28665350,1146614,15071500,1,5,24,33,36
39樂合彩,114000103,2025/04/26,30858700,1234348,23336000,20,23,32,35,38
39樂合彩,114000104,2025/04/28,31042200,1241688,15779000,6,12,17,38,39
39樂合彩,114000105,2025/04/29,27533075,1101323,17913875,1,7,13,18,35
39樂合彩,114000106,2025/04/30,32281150,1291246,15882250,22,26,30,31,38
39樂合彩,114000107,2025/05/01,29866700,1194668,23003500,8,19,25,27,39
39樂合彩,114000108,2025/05/02,28966275,1158651,24902500,5,12,20,24,28
39樂合彩,114000109,2025/05/03,32033900,1281356,17481625,1,10,19,27,31
39樂合彩,114000110,2025/05/05,33135525,1325421,33079500,4,5,8,10,11
39樂合彩,114000111,2025/05/06,28943150,1157726,15618000,6,11,18,37,39
39樂合彩,114000112,2025/05/07,31280875,1251235,43163250,7,9,21,28,38
39樂合彩,114000113,2025/05/08,33246050,1329842,9690250,7,10,26,28,33
39樂合彩,114000114,2025/05/09,30918775,1236751,13562500,4,11,19,21,34
39樂合彩,114000115,2025/05/10,32516250,1300650,17755375,6,9,20,27,36
39樂合彩,114000116,2025/05/12,33782975,1351319,19665500,8,10,26,27,38
39樂合彩,114000117,2025/05/13,30640975,1225639,11093625,4,10,20,23,29
39樂合彩,114000118,2025/05/14,32340075,1293603,19284375,1,14,18,24,38
39樂合彩,114000119,2025/05/15,32096875,1283875,26270125,2,4,15,25,36
39樂合彩,114000120,2025/05/16,30636350,1225454,16304500,2,13,24,27,39
39樂合彩,114000121,2025/05/17,31962000,1278480,16580625,3,9,24,30,39
39樂合彩,114000122,2025/05/19,31589975,1263599,20938000,4,7,14,25,35
39樂合彩,114000123,2025/05/20,28718700,1148748,18457500,10,22,23,26,38
39樂合彩,114000124,2025/05/21,31820225,1272809,11855875,10,16,31,34,38
39樂合彩,114000125,2025/05/22,29841650,1193666,21292375,1,8,17,21,35
39樂合彩,114000126,2025/05/23,28932825,1157313,17166750,13,16,24,27,32
39樂合彩,114000127,2025/05/24,30057025,1202281,15114250,14,18,29,35,36
39樂合彩,114000128,2025/05/26,30612550,1224502,12634250,8,15,21,24,34
39樂合彩,114000129,2025/05/27,27851875,1114075,12713500,4,8,23,33,38
39樂合彩,114000130,2025/05/28,30970825,1238833,10268625,9,13,15,24,33
39樂合彩,114000131,2025/05/29,28601400,1144056,11949500,4,18,28,30,31
39樂合彩,114000132,2025/05/30,28258100,1130324,14573750,14,20,21,34,35
39樂合彩,114000133,2025/05/31,31144200,1245768,7279875,14,18,20,29,35
39樂合彩,114000134,2025/06/02,30376475,1215059,22622125,2,7,11,16,21
39樂合彩,114000135,2025/06/03,26399475,1055979,5848875,7,20,21,25,34
39樂合彩,114000136,2025/06/04,29008375,1160335,11852875,20,30,33,36,38
39樂合彩,114000137,2025/06/05,29307075,1172283,19064000,7,14,19,35,39
39樂合彩,114000138,2025/06/06,29571825,1182873,8408250,2,12,14,25,30
39樂合彩,114000139,2025/06/07,30633775,1225351,20742625,4,16,22,23,32
39樂合彩,114000140,2025/06/09,40886250,1635450,31756000,8,20,27,29,30
39樂合彩,114000141,2025/06/10,39902525,1596101,20798250,7,12,16,29,38
39樂合彩,114000142,2025/06/11,42626325,1705053,35682250,4,17,19,21,31
39樂合彩,114000143,2025/06/12,41046175,1641847,23334500,11,14,15,19,32
39樂合彩,114000144,2025/06/13,38293800,1531752,31187500,4,5,10,12,38
39樂合彩,114000145,2025/06/14,43392575,1735703,25072000,2,15,17,23,37
39樂合彩,114000146,2025/06/16,42150350,1686014,47711250,6,8,9,33,36
39樂合彩,114000147,2025/06/17,39001175,1560047,18753250,2,12,14,26,37
39樂合彩,114000148,2025/06/18,40339400,1613576,18299000,7,12,23,26,36
39樂合彩,114000149,2025/06/19,39304350,1572174,28528250,12,14,15,17,24
39樂合彩,114000150,2025/06/20,38742050,1549682,23025000,2,5,8,17,24
39樂合彩,114000151,2025/06/21,40164375,1606575,23244750,3,8,15,24,39
39樂合彩,114000152,2025/06/23,41005725,1640229,17144750,3,14,22,31,38
39樂合彩,114000153,2025/06/24,37355450,1494218,33068500,1,10,12,20,31
39樂合彩,114000154,2025/06/25,40078825,1603153,38492750,2,11,28,30,37
39樂合彩,114000155,2025/06/26,40735650,1629426,38236500,1,6,13,24,29
39樂合彩,114000156,2025/06/27,39601325,1584053,20921750,3,4,10,19,37
39樂合彩,114000157,2025/06/28,41305450,1652218,25542000,12,22,29,33,34
39樂合彩,114000158,2025/06/30,43797450,1751898,48592250,7,8,11,23,31
