遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
今彩539,114000085,2025/4/5,36684100,733682,10855150,12,13,14,15,24
今彩539,114000086,2025/4/7,41911500,838230,18053000,1,6,19,26,33
今彩539,114000087,2025/4/8,36074150,721483,8085000,6,17,18,19,32
今彩539,114000088,2025/4/9,39487750,789755,25939100,4,6,14,24,35
今彩539,114000089,2025/4/10,35366150,707323,16038300,14,19,22,26,28
今彩539,114000090,2025/4/11,36904600,738092,9923050,15,17,26,27,35
今彩539,114000091,2025/4/12,40323950,806479,12482100,9,11,15,25,31
今彩539,114000092,2025/4/14,40994100,819882,14838800,9,10,22,30,33
今彩539,114000093,2025/4/15,35800700,716014,18238700,2,3,16,27,39
今彩539,114000094,2025/4/16,38491200,769824,18497350,7,22,25,29,38
今彩539,114000095,2025/4/17,35298700,705974,12351650,3,6,23,24,37
今彩539,114000096,2025/4/18,36004300,720086,24969600,7,24,28,31,36
今彩539,114000097,2025/4/19,37782400,755648,9801900,14,19,21,26,36
今彩539,114000098,2025/4/21,39287500,785750,26748700,2,6,12,14,24
今彩539,114000099,2025/4/22,33857900,677158,19093850,8,19,23,27,31
今彩539,114000100,2025/4/23,36975900,739518,16210050,1,16,19,27,33
今彩539,114000101,2025/4/24,33475650,669513,10668800,4,6,25,29,35
今彩539,114000102,2025/4/25,34531100,690622,32903700,1,5,24,33,36
今彩539,114000103,2025/4/26,36306950,726139,34558200,20,23,32,35,38
今彩539,114000104,2025/4/28,38312000,766240,9702700,6,12,17,38,39
今彩539,114000105,2025/4/29,34274200,685484,33666750,1,7,13,18,35
今彩539,114000106,2025/4/30,38632700,772654,9661300,22,26,30,31,38
今彩539,114000107,2025/5/1,34969200,699384,19229050,8,19,25,27,39
今彩539,114000108,2025/5/2,35534650,710693,22758800,5,12,20,24,28
今彩539,114000109,2025/5/3,37564600,751292,26890350,1,10,19,27,31
今彩539,114000110,2025/5/5,39700100,794002,42952100,4,5,8,10,11
今彩539,114000111,2025/5/6,34564650,691293,25251100,6,11,18,37,39
今彩539,114000112,2025/5/7,35330750,706615,43108500,7,9,21,28,38
今彩539,114000113,2025/5/8,36492650,729853,16343600,7,10,26,28,33
今彩539,114000114,2025/5/9,35701150,714023,17334050,4,11,19,21,34
今彩539,114000115,2025/5/10,36443150,728863,18828750,6,9,20,27,36
今彩539,114000116,2025/5/12,39601850,792037,20852100,8,10,26,27,38
今彩539,114000117,2025/5/13,35387450,707749,17064350,4,10,20,23,29
今彩539,114000118,2025/5/14,37811300,756226,33514150,1,14,18,24,38
今彩539,114000119,2025/5/15,35213650,704273,18818650,2,4,15,25,36
今彩539,114000120,2025/5/16,35444250,708885,33055000,2,13,24,27,39
今彩539,114000121,2025/5/17,35626050,712521,17828100,3,9,24,30,39
今彩539,114000122,2025/5/19,38518700,770374,28300100,4,7,14,25,35
今彩539,114000123,2025/5/20,33520850,670417,9616750,10,22,23,26,38
今彩539,114000124,2025/5/21,36283200,725664,23891850,10,16,31,34,38
今彩539,114000125,2025/5/22,33482200,669644,27398650,1,8,17,21,35
今彩539,114000126,2025/5/23,33708200,674164,8553350,13,16,24,27,32
今彩539,114000127,2025/5/24,33689800,673796,9341350,14,18,29,35,36
今彩539,114000128,2025/5/26,37097250,741945,17502850,8,15,21,24,34
今彩539,114000129,2025/5/27,33212750,664255,17297350,4,8,23,33,38
今彩539,114000130,2025/5/28,35714150,714283,16245600,9,13,15,24,33
今彩539,114000131,2025/5/29,31843200,636864,7653000,4,18,28,30,31
今彩539,114000132,2025/5/30,34154900,683098,8713100,14,20,21,34,35
今彩539,114000133,2025/5/31,37609700,752194,7885900,14,18,20,29,35
今彩539,114000134,2025/6/2,37903300,758066,20118850,2,7,11,16,21
今彩539,114000135,2025/6/3,30527050,610541,6582550,7,20,21,25,34
今彩539,114000136,2025/6/4,34550150,691003,6919550,20,30,33,36,38
今彩539,114000137,2025/6/5,34741400,694828,25920050,7,14,19,35,39
今彩539,114000138,2025/6/6,34636300,692726,8044800,2,12,14,25,30
今彩539,114000139,2025/6/7,35599450,711989,18509100,4,16,22,23,32
今彩539,114000140,2025/6/9,39986800,799736,11152250,8,20,27,29,30
今彩539,114000141,2025/6/10,33775000,675500,17090850,7,12,16,29,38
今彩539,114000142,2025/6/11,36893550,737871,18127950,4,17,19,21,31
今彩539,114000143,2025/6/12,35281300,705626,7963150,11,14,15,19,32
今彩539,114000144,2025/6/13,31349700,626994,33887000,4,5,10,12,38
今彩539,114000145,2025/6/14,36765850,735317,26181350,2,15,17,23,37
今彩539,114000146,2025/6/16,40179500,803590,30563250,6,8,9,33,36
今彩539,114000147,2025/6/17,33159950,663199,16211800,2,12,14,26,37
今彩539,114000148,2025/6/18,36122050,722441,9390550,7,12,23,26,36
今彩539,114000149,2025/6/19,36486750,729735,17632600,12,14,15,17,24
今彩539,114000150,2025/6/20,33571050,671421,10587750,2,5,8,17,24
今彩539,114000151,2025/6/21,35585750,711715,17369300,3,8,15,24,39
今彩539,114000152,2025/6/23,40696100,813922,9923400,3,14,22,31,38
今彩539,114000153,2025/6/24,32390450,647809,26214100,1,10,12,20,31
今彩539,114000154,2025/6/25,35657500,713150,11259250,2,11,28,30,37
今彩539,114000155,2025/6/26,37249550,744991,27386900,1,6,13,24,29
今彩539,114000156,2025/6/27,33146900,662938,8201550,3,4,10,19,37
今彩539,114000157,2025/6/28,36430700,728614,17311550,12,22,29,33,34
今彩539,114000158,2025/6/30,37859350,757187,22736650,7,8,11,23,31
今彩539,114000159,2025/7/1,33561250,671225,17930400,6,8,11,19,38
今彩539,114000160,2025/7/2,36159300,723186,9169500,6,13,21,24,38
今彩539,114000161,2025/7/3,33214800,664296,8117400,10,21,22,26,27
今彩539,114000162,2025/7/4,33718950,674379,7962300,5,24,31,36,39
今彩539,114000163,2025/7/5,35660150,713203,18942700,8,14,22,24,35
今彩539,114000164,2025/7/7,34115350,682307,9788400,14,25,27,35,38
今彩539,114000165,2025/7/8,33058950,661179,8469100,3,4,24,27,33
今彩539,114000166,2025/7/9,32554450,651089,9082300,13,18,27,28,37
今彩539,114000167,2025/7/10,31987700,639754,7106100,2,3,4,34,36
今彩539,114000168,2025/7/11,34676250,693525,10758600,9,26,37,38,39
今彩539,114000169,2025/7/12,35829100,716582,7938150,3,19,20,21,26
今彩539,114000170,2025/7/14,37409800,748196,21536050,8,11,12,29,36
今彩539,114000171,2025/7/15,33342400,666848,25618250,9,16,21,22,38
今彩539,114000172,2025/7/16,35631900,712638,36470250,15,18,24,31,32
今彩539,114000173,2025/7/17,33612950,672259,25718200,4,6,11,29,37
今彩539,114000174,2025/7/18,34525600,690512,18883100,12,21,22,38,39
今彩539,114000175,2025/7/19,34465400,689308,21235450,7,11,14,26,27
今彩539,114000176,2025/7/21,35721150,714423,9130100,1,6,11,22,34
今彩539,114000177,2025/7/22,34840450,696809,23489400,19,21,27,32,39
今彩539,114000178,2025/7/23,36124100,722482,25182500,16,18,23,36,39
今彩539,114000179,2025/7/24,32585850,651717,32377400,2,6,9,29,32
今彩539,114000180,2025/7/25,32997550,659951,40039600,5,7,10,26,30
今彩539,114000181,2025/7/26,35285900,705718,8064550,14,15,18,23,29
今彩539,114000182,2025/7/28,34758150,695163,24567450,4,16,22,23,30
今彩539,114000183,2025/7/29,32478500,649570,9557800,1,6,10,13,27
今彩539,114000184,2025/7/30,35263150,705263,23905250,17,22,24,30,32
今彩539,114000185,2025/7/31,32895550,657911,9132300,11,12,17,34,36
今彩539,114000186,2025/8/1,33866600,677332,15307700,2,13,18,33,34
今彩539,114000187,2025/8/2,34071000,681420,20348800,3,14,22,25,31
今彩539,114000188,2025/8/4,36167600,723352,7974000,3,21,23,25,26
